Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
TSPAN6,1.42485,1.20043,1.65074,OK,protein_coding
TNMD,0.123193,0.0461973,0.200188,OK,protein_coding
DPM1,1.7052,1.41426,1.99769,OK,protein_coding
SCYL3,0.291918,0.226293,0.35754,OK,protein_coding
C1orf112,0.123759,0.0574248,0.191103,OK,protein_coding
FGR,7.93739,7.38188,8.50595,OK,protein_coding
CFH,1.57229,1.41892,1.72573,OK,protein_coding
FUCA2,5.96502,5.04142,5.95386,OK,protein_coding
GCLC,1.63443,1.20329,1.98088,OK,protein_coding
NFYA,0.768026,0.646732,0.889289,OK,protein_coding
C1orf201,6.18161,5.53517,6.37597,OK,protein_coding
NIPAL3,6.62516,6.31224,6.93994,OK,protein_coding
LAS1L,17.1845,16.3192,18.1221,OK,protein_coding
ENPP4,0.118197,0.0863912,0.149938,OK,protein_coding
SEMA3F,61.3677,60.7303,63.4686,OK,protein_coding
CFTR,0.156083,0.0182575,0.294835,OK,protein_coding
ANKIB1,0.288977,0.185617,0.392472,OK,protein_coding
CYP51A1,1.78033,1.55967,1.98567,OK,protein_coding
KRIT1,1.07397,0.797078,1.42685,OK,protein_coding
RAD52,1.96724,1.44488,2.5001,OK,protein_coding
MYH16,0.187127,0.0311222,0.348822,OK,pseudogene
BAD,81.0646,77.8629,84.8483,OK,protein_coding
LAP3,3.93164,3.60513,4.26089,OK,protein_coding
CD99,109.165,107.324,112.25,OK,protein_coding
HS3ST1,0.138379,0.105038,0.251248,OK,protein_coding
ABP1,0.184445,0.115126,0.253993,OK,protein_coding
WNT16,0.0119483,0.0,0.0613956,OK,protein_coding
HECW1,1.80549,1.1818,1.90072,OK,protein_coding
MAD1L1,54.44,52.9358,56.8824,OK,protein_coding
LASP1,50.2674,49.8947,51.9532,OK,protein_coding
SNX11,2.81337,2.57402,3.0602,OK,protein_coding
TMEM176A,334.334,331.662,343.887,OK,protein_coding
M6PR,19.8175,18.498,21.152,OK,protein_coding
KLHL13,0.0608518,0.0211038,0.147764,OK,protein_coding
CYP26B1,1.1069,0.904829,1.30922,OK,protein_coding
ICA1,0.582238,0.399141,0.764914,OK,protein_coding
DBNDD1,21.006,20.2888,22.0019,OK,protein_coding
ALS2,2.05881,1.86206,2.25516,OK,protein_coding
CASP10,0.772799,0.60428,0.941096,OK,protein_coding
CFLAR,11.5201,10.6741,12.3838,OK,protein_coding
TFPI,0.498862,0.331481,0.664556,OK,protein_coding
C2orf56,1.03017,0.818065,1.26246,OK,protein_coding
RBM5,19.1562,17.6926,20.6964,OK,protein_coding
MTMR7,0.0791575,0.0306479,0.23091,OK,protein_coding
SLC7A2,0.919122,0.844418,0.994942,OK,protein_coding
ARF5,114.896,84.6203,90.3036,OK,protein_coding
SARM1,3.91208,3.49104,4.12504,OK,protein_coding
POLDIP2,77.1113,76.5486,79.6482,OK,processed_transcript
PLXND1,99.5384,84.7137,88.8975,OK,protein_coding
AK2,15.2868,14.4017,16.16,OK,protein_coding
CD38,0.268312,0.161029,0.375807,OK,protein_coding
FKBP4,44.3448,43.4811,46.1043,OK,protein_coding
KDM1A,11.12,10.4358,11.8379,OK,protein_coding
RBM6,35.9046,34.8313,37.5963,OK,protein_coding
CAMKK1,4.77546,4.51712,5.05872,OK,protein_coding
RECQL,0.281752,0.147493,0.429124,OK,protein_coding
CCDC132,0.171702,0.120526,0.392153,OK,protein_coding
HSPB6,488.485,491.103,501.431,OK,protein_coding
ARHGAP33,7.24916,6.96685,7.61312,OK,protein_coding
NDUFAB1,16.8267,15.5512,18.1042,OK,protein_coding
PDK4,0.852553,0.725693,0.982872,OK,protein_coding
SLC22A16,0.0111407,0.0,0.100188,OK,protein_coding
ZMYND10,1.7686,1.4338,2.10395,OK,protein_coding
ABCB5,0.215114,0.159173,0.27106,OK,protein_coding
ARX,0.737302,0.611339,0.845533,OK,protein_coding
SLC25A13,0.534919,0.419532,0.719472,OK,protein_coding
ST7,3.71483,3.2701,4.19084,OK,protein_coding
CDC27,0.545691,0.401091,0.691907,OK,protein_coding
SLC4A1,0.118964,0.00692523,0.284427,OK,protein_coding
CALCR,0.0069005,0.0,0.0444687,OK,protein_coding
HCCS,3.60159,3.2076,3.99597,OK,protein_coding
DVL2,31.6713,29.0641,30.6011,OK,protein_coding
PRSS22,0.184842,0.10729,0.258759,OK,protein_coding
UPF1,70.0063,66.803,68.6789,OK,protein_coding
SKAP2,0.0772253,0.0414883,0.284599,OK,protein_coding
SLC25A5,27.9276,26.812,29.2976,OK,protein_coding
CCDC109B,0.262904,0.185033,0.339538,OK,protein_coding
HOXA11,0.0,0.0,0.0122798,OK,protein_coding
POLR2J,35.7012,33.8783,37.652,OK,protein_coding
DHX33,0.647057,0.574776,0.719268,OK,protein_coding
MEOX1,0.127477,0.0702018,0.185177,OK,protein_coding
THSD7A,0.0355461,0.0139729,0.115123,OK,protein_coding
LIG3,5.2977,5.02537,5.57351,OK,protein_coding
RPAP3,0.74841,0.466612,1.03066,OK,protein_coding
ACSM3,0.608455,0.36169,0.876729,OK,protein_coding
AC004381.6.1,0.287271,0.210589,0.566244,OK,protein_coding
CIAPIN1,15.2207,13.9843,16.4732,OK,protein_coding
AC004410.1,37.0761,36.546,38.4295,OK,protein_coding
