Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
RN28S1,13931.8,14140.0,14249.6,OK,pseudogene
AC114498.5,12042.4,10423.3,13611.0,OK,Mt_tRNA_pseudogene
CLU,12073.5,11928.6,11975.9,OK,protein_coding
AC116340.1,72794.7,10975.7,11072.3,OK,rRNA_pseudogene
MT-CO3,10816.6,10991.8,11055.6,OK,protein_coding
MT-CO1,11103.6,9626.82,9660.66,OK,protein_coding
KRT5,8212.78,8270.01,8307.65,OK,protein_coding
J01415.11,6431.76,5113.59,7772.66,OK,Mt_tRNA
AC112777.1,105125.0,7224.61,7310.22,OK,rRNA_pseudogene
MT-ND4,6578.39,6687.83,6722.69,OK,protein_coding
FTH1,6377.47,6478.11,6520.63,OK,protein_coding
MT-CO2,9088.74,6370.59,6411.29,OK,protein_coding
S100A4,5829.19,5913.67,5966.9,OK,protein_coding
AP003035.1,17437.4,5900.94,5959.57,OK,rRNA_pseudogene
AC108078.1,62959.8,5593.56,5666.44,OK,rRNA_pseudogene
KRT12,5837.68,5297.31,5318.16,OK,protein_coding
AC092279.1,1659680.0,5135.03,5228.65,OK,miRNA
MT-ATP6,7068.87,5045.3,5082.28,OK,protein_coding
S100A6,4570.29,4636.24,4677.09,OK,protein_coding
hsa-mir-1977,3831.63,3033.27,4606.08,OK,miRNA
MIR4485,4838.23,4199.29,4221.32,OK,Mt_rRNA
TMSB4X,4111.04,4168.41,4208.04,OK,protein_coding
AC098691.1,1403690.0,3976.39,4063.81,OK,miRNA
AC006368.1,39883.8,3877.88,3936.99,OK,rRNA_pseudogene
AL592307.1,14580.5,3765.23,3815.0,OK,rRNA_pseudogene
AC114498.3,2885.59,2127.42,3626.28,OK,Mt_tRNA_pseudogene
RPL41,3532.36,3571.45,3620.02,OK,protein_coding
TGFBI,3267.88,3235.07,3257.25,OK,protein_coding
TPT1,3082.83,3121.62,3154.55,OK,protein_coding
RPLP1,3036.98,3071.04,3111.61,OK,protein_coding
AL512503.1,11808.0,3047.89,3092.24,OK,rRNA_pseudogene
GAPDH,2981.44,3024.46,3047.74,OK,protein_coding
S100A9,4644.26,2997.12,3026.9,OK,protein_coding
MT-CYB,3606.48,2956.03,2977.36,OK,protein_coding
S100A8,2835.09,2866.59,2905.51,OK,protein_coding
RPS27,2825.61,2841.47,2901.61,OK,protein_coding
ENO1,3129.04,2817.78,2834.91,OK,protein_coding
EEF1A1,3141.43,2795.32,2812.69,OK,protein_coding
AC093311.4,2004.07,1284.16,2743.43,OK,Mt_tRNA_pseudogene
RPS18,2660.61,2691.17,2725.69,OK,protein_coding
RPL37A,2632.07,2656.12,2701.0,OK,protein_coding
RN18S1,3905.65,2570.03,2597.02,OK,pseudogene
J01415.24,15484.2,2518.14,2572.52,OK,protein_coding
HSPB1,2432.43,2460.37,2491.53,OK,protein_coding
KRT13,2465.22,2456.93,2473.66,OK,protein_coding
AL606830.1,275893.0,2397.32,2463.64,OK,rRNA_pseudogene
RPS24,2526.08,2415.84,2453.66,OK,protein_coding
B2M,3789.06,2363.32,2390.04,OK,protein_coding
MT-ND3,5546.4,2352.32,2385.67,OK,protein_coding
KRT14,2242.11,2274.07,2294.31,OK,protein_coding
MT-ND1,2835.33,2224.93,2244.97,OK,protein_coding
MT-ND6,3552.54,2168.77,2195.02,OK,protein_coding
RPL10,2123.47,2146.79,2175.98,OK,protein_coding
RPS12,1979.48,1998.96,2028.86,OK,protein_coding
GSTP1,1939.44,1959.28,1985.41,OK,protein_coding
MT-ND2,2423.01,1943.67,1961.61,OK,protein_coding
RPL39,1876.16,1887.84,1927.53,OK,protein_coding
RPL30,1862.33,1872.65,1905.68,OK,protein_coding
RPS3,1797.44,1807.81,1844.17,OK,protein_coding
RPL34,1789.3,1801.33,1837.73,OK,protein_coding
SAT1,1771.1,1773.41,1793.92,OK,protein_coding
RPL31,1740.82,1743.64,1789.51,OK,protein_coding
RPL27A,1731.62,1745.76,1777.6,OK,protein_coding
RP5-857K21.6.1,1988.92,1757.21,1771.08,OK,pseudogene
TMSB10,1703.48,1714.09,1748.76,OK,protein_coding
RPL11,1688.22,1703.86,1731.03,OK,protein_coding
RPL8,1782.89,1696.8,1719.96,OK,protein_coding
AL163011.1,9700.39,1674.81,1711.27,OK,rRNA_pseudogene
RPL13A,1649.65,1660.23,1679.9,OK,protein_coding
H19,1711.93,1663.37,1677.04,OK,processed_transcript
RPS23,1568.06,1577.77,1610.42,OK,protein_coding
MYL6,1540.6,1549.45,1580.09,OK,protein_coding
MT1X,2736.88,1538.95,1563.38,OK,protein_coding
MT-ND4L,4330.21,1522.42,1552.98,OK,protein_coding
RPL4,1511.31,1526.5,1548.58,OK,protein_coding
RPS20,1536.23,1510.79,1537.52,OK,protein_coding
RPS6,1504.45,1518.87,1537.5,OK,protein_coding
AC079949.1,2434.63,1502.42,1523.85,OK,rRNA_pseudogene
RPL35,1478.72,1484.4,1519.27,OK,protein_coding
RPL3,1452.65,1468.85,1483.25,OK,protein_coding
RPL13,1555.5,1452.97,1478.05,OK,protein_coding
RPL23,1427.8,1441.05,1465.12,OK,protein_coding
NACA,1417.04,1426.84,1454.62,OK,protein_coding
RPLP0,1411.01,1427.74,1445.25,OK,protein_coding
RPS21,1393.62,1397.32,1433.67,OK,protein_coding
RPL37,1395.28,1403.62,1432.44,OK,protein_coding
S100A11,1375.31,1386.61,1411.23,OK,protein_coding
IGKJ2,7.92917e-07,0.0,1407.47,LOWDATA,IG_J_gene
RPLP2,1360.53,1358.29,1399.85,OK,protein_coding
RPS11,2075.81,1375.71,1394.95,OK,protein_coding
J01415.23,1738.84,1362.59,1378.1,OK,Mt_rRNA
NQO1,1337.96,1352.02,1370.96,OK,protein_coding
LDHA,1309.5,1324.05,1341.26,OK,protein_coding
UBC,1291.9,1308.62,1323.06,OK,protein_coding
PPIA,1289.11,1300.15,1322.37,OK,protein_coding
AC004866.1,6077.66,1291.79,1322.2,OK,rRNA_pseudogene
RP5-857K21.10.1,1823.09,1298.4,1317.57,OK,pseudogene
RPL36,1277.48,1280.72,1313.6,OK,protein_coding
AGAP11,1785.45,1288.06,1306.42,OK,processed_transcript
ANXA2,1259.66,1272.78,1290.36,OK,protein_coding
RPS16,1252.42,1260.24,1285.72,OK,protein_coding
GLUL,1277.5,1262.21,1279.52,OK,protein_coding
RPS29,3516.7,1232.9,1263.31,OK,protein_coding
