Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
TSPAN6,43.7667,43.1109,45.3926,OK,protein_coding
TNMD,0.658306,0.535831,0.781357,OK,protein_coding
DPM1,33.8965,32.8383,35.3866,OK,protein_coding
SCYL3,8.04159,7.72836,8.42528,OK,protein_coding
C1orf112,2.09895,1.65557,2.21868,OK,protein_coding
FGR,7.61637,7.12438,8.10959,OK,protein_coding
CFH,198.796,194.761,198.649,OK,protein_coding
FUCA2,19.6036,17.0544,18.3406,OK,protein_coding
GCLC,11.1319,9.82667,10.8354,OK,protein_coding
NFYA,7.93011,7.62804,8.29901,OK,protein_coding
C1orf201,3.35983,2.82987,3.38747,OK,protein_coding
NIPAL3,5.83861,5.58953,6.08961,OK,protein_coding
LAS1L,16.7608,16.1816,17.547,OK,protein_coding
ENPP4,5.47038,5.24761,5.71785,OK,protein_coding
SEMA3F,13.7648,13.2274,14.403,OK,protein_coding
CFTR,2.26821,2.0012,2.53367,OK,protein_coding
ANKIB1,9.71571,9.41433,10.0239,OK,protein_coding
CYP51A1,18.1656,16.6345,17.7506,OK,protein_coding
KRIT1,21.2205,20.2374,22.3139,OK,protein_coding
RAD52,5.41838,4.81611,6.03237,OK,protein_coding
MYH16,0.160488,0.0598393,0.261475,OK,pseudogene
BAD,24.9471,23.5564,26.4465,OK,protein_coding
LAP3,48.0059,47.1116,48.9049,OK,protein_coding
CD99,193.495,191.445,196.833,OK,protein_coding
HS3ST1,2.90406,2.51274,3.29546,OK,protein_coding
ABP1,0.741324,0.642938,0.840553,OK,protein_coding
WNT16,0.383045,0.313471,0.452767,OK,protein_coding
HECW1,0.542712,0.300784,0.618478,OK,protein_coding
MAD1L1,9.61431,8.92291,10.3317,OK,protein_coding
LASP1,18.3299,18.0373,19.0168,OK,protein_coding
SNX11,7.73554,7.40363,8.14483,OK,protein_coding
TMEM176A,40.2031,38.8181,42.0783,OK,protein_coding
M6PR,72.6259,70.8431,75.3917,OK,protein_coding
KLHL13,8.22189,7.84501,8.49473,OK,protein_coding
CYP26B1,4.19679,3.91336,4.5021,OK,protein_coding
ICA1,7.57882,5.42548,6.42868,OK,protein_coding
DBNDD1,1.3986,1.23717,1.56133,OK,protein_coding
ALS2,5.00066,4.77945,5.2634,OK,protein_coding
CASP10,7.16745,6.76136,7.59741,OK,protein_coding
CFLAR,37.745,36.5791,39.2681,OK,protein_coding
TFPI,17.5704,14.3857,15.767,OK,protein_coding
C2orf56,8.7902,8.34664,9.32461,OK,protein_coding
RBM5,85.0598,83.4933,88.2422,OK,protein_coding
MTMR7,0.618323,0.546221,0.779418,OK,protein_coding
SLC7A2,3.92444,3.77817,4.10054,OK,protein_coding
ARF5,75.2407,54.8252,58.1095,OK,protein_coding
SARM1,0.583126,0.504091,0.661993,OK,protein_coding
POLDIP2,26.9773,26.584,27.9699,OK,processed_transcript
PLXND1,33.3416,27.2363,29.6377,OK,protein_coding
AK2,62.1233,58.6654,62.2034,OK,protein_coding
CD38,1.76713,1.5368,1.99719,OK,protein_coding
FKBP4,35.8175,35.3216,37.2593,OK,protein_coding
KDM1A,25.5212,24.8987,26.5691,OK,protein_coding
RBM6,62.2918,61.2494,64.7836,OK,protein_coding
CAMKK1,1.76295,1.63809,1.89096,OK,protein_coding
RECQL,15.6557,14.8939,16.4513,OK,protein_coding
CCDC132,7.77205,7.24192,8.2528,OK,protein_coding
HSPB6,59.4334,58.4894,61.5012,OK,protein_coding
ARHGAP33,2.85043,2.68521,3.01797,OK,protein_coding
NDUFAB1,68.5652,66.7185,71.4466,OK,protein_coding
PDK4,19.2883,18.8262,19.748,OK,protein_coding
SLC22A16,0.115498,0.0487315,0.18228,OK,protein_coding
ZMYND10,1.37384,1.09288,1.62548,OK,protein_coding
ABCB5,1.41014,1.21278,1.53948,OK,protein_coding
ARX,1.33373,1.15748,1.41872,OK,protein_coding
SLC25A13,8.07107,7.27351,8.75677,OK,protein_coding
ST7,8.51831,8.08516,9.06897,OK,protein_coding
CDC27,13.2518,12.8647,13.8285,OK,protein_coding
SLC4A1,0.0121273,0.0,0.0606534,OK,protein_coding
CALCR,0.0713718,0.034118,0.11087,OK,protein_coding
HCCS,14.5587,13.8188,15.335,OK,protein_coding
DVL2,10.7561,9.79551,10.5662,OK,protein_coding
PRSS22,11.6909,9.61563,10.6998,OK,protein_coding
UPF1,20.3766,19.3486,20.1814,OK,protein_coding
SKAP2,3.75596,3.42692,4.09128,OK,protein_coding
SLC25A5,144.228,144.137,148.677,OK,protein_coding
CCDC109B,8.77307,7.67222,8.53746,OK,protein_coding
HOXA11,0.00598704,0.0,0.02005,OK,protein_coding
POLR2J,38.2106,36.6947,40.0076,OK,protein_coding
DHX33,5.08977,4.8982,5.31916,OK,protein_coding
MEOX1,1.2255,1.09042,1.36138,OK,protein_coding
THSD7A,0.828525,0.756955,0.90232,OK,protein_coding
LIG3,5.23956,5.02342,5.45672,OK,protein_coding
RPAP3,15.1784,14.5106,15.8478,OK,protein_coding
ACSM3,1.34282,1.10674,1.58142,OK,protein_coding
AC004381.6.1,0.94838,0.732402,1.18283,OK,protein_coding
CIAPIN1,18.4047,17.5788,19.4556,OK,protein_coding
AC004410.1,7.21139,6.8693,7.59512,OK,protein_coding
FAM214B,8.10456,7.76481,8.51373,OK,protein_coding
COPZ2,27.6399,20.6118,22.8247,OK,protein_coding
PRKAR2B,5.69748,5.39724,6.04791,OK,protein_coding
MSL3,15.1868,14.1412,16.226,OK,protein_coding
CREBBP,9.2125,9.10601,9.52277,OK,protein_coding
BZRAP1,4.966,4.81263,5.1668,OK,protein_coding
MPO,0.121023,0.0883665,0.153681,OK,protein_coding
PON1,0.0872212,0.0472613,0.12716,OK,protein_coding
GCFC2,10.7797,9.17773,10.4037,OK,protein_coding
WDR54,9.57303,9.0033,10.1443,OK,protein_coding
CROT,16.9284,16.4343,17.416,OK,protein_coding
ABCB4,1.03743,0.849464,1.21411,OK,protein_coding
MLL5,17.821,17.4015,18.6056,OK,protein_coding
SOX8,1.17398,1.06239,1.28581,OK,protein_coding
IBTK,10.7201,10.4028,11.0478,OK,protein_coding
ZNF195,8.63341,7.9576,9.33775,OK,protein_coding
MYCBP2,35.1053,29.0378,31.2037,OK,protein_coding
FBXL3,31.0774,30.2535,32.3216,OK,protein_coding
ITGAL,2.72781,2.04202,2.80162,OK,protein_coding
PDK2,24.8752,18.3013,20.1284,OK,protein_coding
ITGA3,29.7428,27.9054,30.0236,OK,protein_coding
ZFX,6.76276,6.19985,6.90177,OK,protein_coding
LAMP2,57.6543,57.4063,59.5162,OK,protein_coding
GGNBP2,35.8576,35.5175,36.9644,OK,protein_coding
ITGA2B,0.486394,0.411004,0.562345,OK,protein_coding
ASB4,0.274073,0.164645,0.383591,OK,protein_coding
GDE1,38.2605,35.6299,37.6632,OK,protein_coding
C19orf60,18.1842,17.1937,19.205,OK,protein_coding
CRLF1,9.24404,7.9218,8.80378,OK,protein_coding
OSBPL7,3.03117,2.85988,3.2123,OK,protein_coding
TMEM98,33.7344,32.9104,35.0737,OK,protein_coding
YBX2,1.72141,1.54087,1.90195,OK,protein_coding
KRT33A,0.0900371,0.0449059,0.134718,OK,protein_coding
MAP3K14,4.46455,4.24712,4.70199,OK,protein_coding
ABCC8,0.158294,0.0519344,0.265399,OK,protein_coding
CCL18,17.3819,14.2608,15.7842,OK,protein_coding
CCL3,2.45979,2.13657,2.78376,OK,protein_coding
SYNRG,7.69022,7.32565,8.05718,OK,protein_coding
CACNG3,0.242687,0.192771,0.291964,OK,protein_coding
TMEM132A,2.5002,2.22282,2.85393,OK,protein_coding
AP2B1,23.4629,23.3897,24.1982,OK,protein_coding
TAC1,44.5406,42.8127,46.1756,OK,protein_coding
ZNF263,12.3915,11.3364,12.2163,OK,protein_coding
CX3CL1,9.79003,9.45277,10.2374,OK,protein_coding
SPATA20,27.6153,26.7412,28.9261,OK,protein_coding
CACNA1G,0.397459,0.332072,0.466734,OK,protein_coding
TNFRSF12A,9.28882,8.65193,9.92606,OK,protein_coding
DLX6,0.195841,0.133457,0.25873,OK,protein_coding
MAP3K9,0.714392,0.642854,0.786248,OK,protein_coding
RALA,16.9699,16.467,17.7237,OK,protein_coding
BAIAP2L1.1,3.6561,3.45969,3.85214,OK,protein_coding
JHDM1D,4.60081,4.45158,4.76002,OK,protein_coding
ETV1,1.51794,1.34741,1.68668,OK,protein_coding
AGK,8.87218,7.62332,8.61839,OK,protein_coding
ALDH3B1,12.741,12.2412,13.2594,OK,processed_transcript
TTC22,8.11703,7.75012,8.52545,OK,protein_coding
PHTF2,5.87778,5.5685,6.19393,OK,protein_coding
CCL26,4.67603,4.06653,5.28908,OK,protein_coding
FARP2,11.0551,10.246,12.0437,OK,protein_coding
USH1C,0.483984,0.385814,0.582267,OK,protein_coding
GGCT,29.6266,24.075,26.1993,OK,protein_coding
DBF4,2.03141,1.83944,2.22367,OK,protein_coding
TBXA2R,0.518627,0.444102,0.593744,OK,protein_coding
IFRD1,24.368,21.206,22.7004,OK,protein_coding
COX10,4.46258,3.84388,4.4425,OK,protein_coding
GTF2IRD1,18.1231,16.9597,19.0374,OK,protein_coding
PAF1,33.4143,32.8576,34.6343,OK,protein_coding
VPS41,24.2374,22.6817,25.0699,OK,protein_coding
ARHGAP44,1.7338,1.56457,1.85896,OK,protein_coding
ELAC2,16.7414,16.2654,17.2181,OK,protein_coding
SCIN,11.8401,11.4478,12.2328,OK,protein_coding
ARSD,7.60452,7.26558,7.94328,OK,protein_coding
PNPLA4,9.6995,8.95316,10.4455,OK,protein_coding
MYH13,0.00584381,0.0,0.0126024,OK,protein_coding
ADIPOR2,17.951,17.5428,18.435,OK,protein_coding
CDKL3,3.76363,3.30049,4.23327,OK,protein_coding
UPP2,0.0258081,0.0,0.0573963,OK,protein_coding
PRSS21,0.0937953,0.0432705,0.144318,OK,protein_coding
MARK4,8.89372,8.5569,9.22975,OK,protein_coding
PROM1,1.01131,0.892337,1.13032,OK,protein_coding
CCDC124,37.4931,28.9673,31.2591,OK,protein_coding
CEACAM21,2.01653,1.15058,1.78623,OK,protein_coding
PAFAH1B1,29.0251,28.8364,29.9499,OK,protein_coding
NOS2,8.15783,7.92584,8.50693,OK,protein_coding
DNAH9,0.121458,0.0919903,0.150979,OK,protein_coding
KIAA0100,14.2576,14.1875,14.7313,OK,protein_coding
GAS7,9.93321,9.76277,10.3301,OK,protein_coding
TRAPPC6A,15.4146,10.9328,12.3958,OK,protein_coding
MATK,0.413917,0.338137,0.490017,OK,protein_coding
CEACAM7,71.5379,71.195,73.8481,OK,protein_coding
CD79B,3.23382,2.54093,3.28247,OK,protein_coding
SCN4A,0.0783412,0.0629402,0.0932995,OK,protein_coding
ST7L,14.0466,13.1475,14.9634,OK,protein_coding
TKTL1,1.07407,0.86448,1.28493,OK,protein_coding
PAX6,166.821,164.899,172.34,OK,protein_coding
RPUSD1,6.12283,5.74781,6.54096,OK,protein_coding
RHBDF1,18.6306,16.4258,17.9898,OK,protein_coding
LUC7L,41.7264,36.9346,39.2496,OK,protein_coding
CACNA2D2,1.42793,1.33191,1.52366,OK,protein_coding
BAIAP3,0.915125,0.698885,1.06479,OK,protein_coding
C16orf42,19.4626,18.4477,20.4985,OK,protein_coding
PIGQ,13.0634,12.4628,13.6627,OK,protein_coding
CRAMP1L,5.99087,5.42441,6.55694,OK,protein_coding
TEAD3,30.1282,29.6364,31.2568,OK,protein_coding
SELE,1.21904,1.11301,1.34006,OK,protein_coding
DNAJC11,13.7162,13.1622,14.2724,OK,protein_coding
FMO3,6.86011,6.55487,7.16477,OK,protein_coding
MYLIP,26.0912,25.7122,27.0546,OK,protein_coding
NOX1,0.188324,0.122,0.254797,OK,protein_coding
E2F2,0.262289,0.200588,0.324621,OK,protein_coding
PSMB1,138.955,137.607,143.529,OK,protein_coding
SYN1,0.557418,0.488118,0.627059,OK,protein_coding
JARID2,3.62076,3.4319,3.81011,OK,protein_coding
CDKL5,0.879493,0.759694,0.992907,OK,protein_coding
CAMK1G,0.704008,0.577931,0.830238,OK,protein_coding
CDK11A,49.0668,47.1787,51.3298,OK,protein_coding
NADK,28.0123,23.5461,25.2409,OK,protein_coding
TFAP2B,29.8342,29.2333,30.9915,OK,protein_coding
DLEC1,0.502358,0.376736,0.857907,OK,protein_coding
CYTH3,18.1978,17.8333,18.5636,OK,protein_coding
ADAM22,1.40323,1.30216,1.50356,OK,protein_coding
SYPL1,65.881,65.2059,67.5859,OK,protein_coding
CYB561,14.5653,14.1011,15.1541,OK,protein_coding
SPAG9,32.2096,31.3113,33.6128,OK,protein_coding
CELSR3,0.285472,0.207874,0.363212,OK,protein_coding
AASS,15.4998,15.0557,16.1531,OK,protein_coding
PLEKHG6,5.53135,4.60652,5.44579,OK,protein_coding
SS18L2,16.028,15.0891,17.0039,OK,protein_coding
MPND,5.83736,5.47359,6.22139,OK,protein_coding
MGST1,33.9889,25.3009,27.466,OK,protein_coding
CRY1,11.3451,9.86021,10.9076,OK,protein_coding
PGLYRP1,0.0778354,0.0304499,0.1218,OK,protein_coding
NFIX,29.9862,29.767,31.0009,OK,protein_coding
ST3GAL1,8.25345,7.91837,8.59192,OK,protein_coding
MMP25,0.454936,0.348324,0.56178,OK,protein_coding
IL32,17.9944,16.8468,19.1565,OK,protein_coding
PKD1,59.735,57.8501,62.295,OK,protein_coding
MAPK8IP2,1.11341,0.9968,1.23098,OK,protein_coding
MED24,27.8851,25.6428,27.4142,OK,protein_coding
RHOBTB2,5.17706,4.11294,4.86141,OK,protein_coding
HEATR5B,6.80304,6.56625,7.03979,OK,protein_coding
SEC62,77.5932,70.8767,74.3097,OK,protein_coding
RPS20,1388.16,920.317,937.263,OK,protein_coding
CSDE1,191.973,189.59,193.727,OK,protein_coding
UBE3C,16.6609,16.2262,17.0953,OK,protein_coding
REV3L,11.3997,10.3078,11.2147,OK,protein_coding
ODZ1,0.640349,0.597935,0.719242,OK,protein_coding
PAX7,0.126872,0.0975604,0.156235,OK,protein_coding
MASP2,1.1114,0.986958,1.23699,OK,protein_coding
IYD,0.261142,0.175767,0.348194,OK,protein_coding
FAM76A,4.70665,4.32111,5.09475,OK,protein_coding
TRAF3IP3,4.36268,3.41731,4.0995,OK,protein_coding
POMT2,7.45852,6.73885,8.18464,OK,protein_coding
VTA1,15.4352,14.7833,16.1741,OK,protein_coding
MLXIPL,11.9198,10.8348,12.5018,OK,protein_coding
BAZ1B,17.3273,17.1999,17.9163,OK,protein_coding
RANBP9,20.467,19.7524,21.1693,OK,protein_coding
ETV7,2.79908,2.5443,3.05442,OK,protein_coding
C1orf124,4.06042,3.81808,4.30386,OK,protein_coding
METTL13,11.1239,10.5632,11.6828,OK,protein_coding
DYRK4,27.8541,26.2281,29.5168,OK,protein_coding
ZNF207,62.0402,61.6592,64.0551,OK,protein_coding
UQCRC1,99.9843,78.8449,82.9832,OK,protein_coding
STARD3NL,17.9329,17.1938,18.7588,OK,protein_coding
CD9,432.977,435.912,444.605,OK,protein_coding
HHATL,7.63156,7.00458,8.27638,OK,protein_coding
NCAPD2,8.25852,7.62611,8.50526,OK,protein_coding
IFFO1,10.0862,9.68814,10.5888,OK,protein_coding
GIPR,0.523648,0.441978,0.60852,OK,protein_coding
PHF7,6.93892,5.43823,6.77144,OK,protein_coding
SEMA3G,2.45793,2.22297,2.69469,OK,protein_coding
NISCH,57.0904,53.5827,55.8073,OK,protein_coding
STAB1,56.4052,55.2274,58.5834,OK,protein_coding
FUZ,9.73032,8.97138,10.4352,OK,protein_coding
SLC6A13,0.054616,0.0174792,0.18742,OK,protein_coding
IDS,52.4906,52.0549,54.3038,OK,protein_coding
PRSS3,1.0521,0.838559,1.26667,OK,protein_coding
ZNF200,2.38138,2.22472,2.5453,OK,protein_coding
CD4,9.08135,8.76984,9.53366,OK,protein_coding
LRRC23,5.49714,5.06123,5.96345,OK,protein_coding
BTK,2.66443,2.07853,2.67837,OK,protein_coding
HFE,5.78594,5.29653,6.20389,OK,protein_coding
SCMH1,21.1037,18.7275,21.2588,OK,protein_coding
FYN,22.7676,21.6159,24.0392,OK,protein_coding
HIVEP2,8.83562,8.46247,9.47809,OK,protein_coding
FMO1,31.5816,30.4645,32.6791,OK,protein_coding
TCEB3,8.53082,8.09432,8.72711,OK,protein_coding
LYPLA2,29.1776,28.3858,29.9702,OK,protein_coding
CLCN6,7.30836,6.9512,7.71751,OK,protein_coding
MRC2,30.5402,30.2785,31.507,OK,protein_coding
NME2,383.354,382.903,394.519,OK,protein_coding
SLC6A7,0.0304997,0.00772852,0.0535541,OK,protein_coding
TSPAN9,19.6014,18.735,20.5701,OK,protein_coding
BTBD7,5.72573,5.51929,5.9348,OK,protein_coding
APBA3,3.79663,3.54194,4.05428,OK,protein_coding
MKS1,4.07834,3.81998,4.34136,OK,protein_coding
ABHD5,10.5602,9.97754,11.1436,OK,protein_coding
KAL1,0.90951,0.801843,1.01777,OK,protein_coding
AKAP8L,25.6902,22.7676,24.0635,OK,protein_coding
MBTD1,5.59325,5.36441,5.87471,OK,protein_coding
UTP18,23.092,22.0986,24.0182,OK,protein_coding
RNF216,10.4707,9.91459,10.5905,OK,protein_coding
TTC19,18.6927,18.0068,19.441,OK,protein_coding
PTBP1,54.3483,54.1537,55.9919,OK,protein_coding
DPF1,0.125956,0.062845,0.213299,OK,protein_coding
SYT7,2.22346,2.02611,2.37428,OK,protein_coding
LARS2,4.82229,4.49842,5.14504,OK,protein_coding
PIK3C2A,13.9973,13.2415,14.75,OK,protein_coding
PLAUR,10.0058,9.46413,10.5603,OK,protein_coding
ANLN,1.23762,1.02114,1.45601,OK,protein_coding
WIZ,9.7529,9.51696,10.167,OK,protein_coding
RABGAP1,32.2145,31.3909,33.0039,OK,protein_coding
DCN,1196.87,1103.62,1116.46,OK,protein_coding
QPCTL,3.56157,3.32285,3.80141,OK,protein_coding
PPP5C,27.7482,27.0707,28.4251,OK,protein_coding
CEP68,8.03513,7.63114,8.16402,OK,protein_coding
MAP4K3,18.7917,17.7478,19.1594,OK,protein_coding
ZBTB32,0.144501,0.09546,0.193933,OK,protein_coding
TYROBP,46.6007,44.5196,49.0029,OK,protein_coding
TMEM159,17.48,16.7698,18.2603,OK,protein_coding
GABRA3,0.0847822,0.0434452,0.152625,OK,protein_coding
BRCA1,1.30612,1.06266,1.55028,OK,protein_coding
ERCC1,24.2997,23.6874,25.3453,OK,protein_coding
CD22,0.450824,0.387466,0.514326,OK,protein_coding
SEMA3B,20.0124,19.1626,20.5957,OK,polymorphic_pseudogene
MBTPS2,5.6007,5.31196,5.78521,OK,protein_coding
PRICKLE3,8.74675,8.28792,9.24808,OK,protein_coding
LTF,0.756693,0.620366,0.893894,OK,protein_coding
EXTL3,8.46538,8.15954,8.76921,OK,protein_coding
ELOVL5,49.0505,48.6135,50.7213,OK,protein_coding
ALOX5,24.5354,22.8297,24.977,OK,protein_coding
KDM5D,9.01257,7.87836,8.86103,OK,protein_coding
CALCOCO1,83.8811,83.0544,86.7415,OK,protein_coding
UBR7,10.3702,9.88637,10.848,OK,protein_coding
MAP4K5,18.6261,17.959,19.5129,OK,protein_coding
EHD3,27.1869,27.036,28.0694,OK,protein_coding
PSMC4,41.7275,40.989,43.3192,OK,protein_coding
MAN2B2,9.72804,8.31226,11.2388,OK,protein_coding
SLC7A14,0.579871,0.359046,0.801748,OK,protein_coding
CLDN11,14.8581,13.0323,14.1628,OK,protein_coding
SLC25A39,30.1243,29.3145,31.3644,OK,protein_coding
MVP,95.4978,93.9337,98.861,OK,protein_coding
NUB1,39.8985,38.5466,41.6468,OK,protein_coding
PGM3,12.6329,11.3129,12.5708,OK,protein_coding
RWDD2A,5.52572,5.14873,5.91007,OK,protein_coding
CLK1,128.384,118.334,122.444,OK,protein_coding
POLR3B,1.95038,1.81972,2.08009,OK,protein_coding
ANGEL1,5.82095,5.47899,6.1462,OK,protein_coding
RNF14,22.0235,19.3597,20.8492,OK,protein_coding
DNASE1L1,14.7514,14.1877,15.5327,OK,protein_coding
DDX11,14.3363,13.3348,15.3595,OK,protein_coding
HEBP1,34.3183,27.9829,30.0638,OK,protein_coding
GPRC5A,5.46218,5.10637,5.81404,OK,protein_coding
MAMLD1,1.14413,1.04388,1.24441,OK,protein_coding
CD6,0.970568,0.677017,1.12807,OK,protein_coding
TACC3,4.03029,3.56473,4.48249,OK,protein_coding
UFL1,12.7065,12.4354,13.2225,OK,protein_coding
POLA2,5.62874,5.17126,6.08644,OK,protein_coding
ZC3H3,5.54174,4.48751,5.19874,OK,protein_coding
CAPN1,84.5384,83.032,87.498,OK,protein_coding
ACPP,4.19993,3.92815,4.47006,OK,protein_coding
MDH1,93.8883,93.1612,97.0384,OK,protein_coding
SLC30A9,22.0031,21.4435,22.8691,OK,protein_coding
MTMR11,9.98729,9.35691,10.398,OK,protein_coding
COX15,19.0488,17.5826,18.92,OK,protein_coding
CCDC88C,3.61032,3.35028,3.8698,OK,protein_coding
YAF2,12.7934,11.5237,13.2142,OK,protein_coding
ZMYND11,34.7458,34.4553,35.8856,OK,protein_coding
WAS,5.11586,4.58508,5.45888,OK,protein_coding
DPEP1,0.381082,0.267435,0.494513,OK,protein_coding
BID,16.5057,16.0345,16.9772,OK,protein_coding
MATR3,132.15,131.561,136.251,OK,protein_coding
NPC1L1,0.0212481,0.00716229,0.0359352,OK,protein_coding
XYLT2,6.85178,6.5423,7.22823,OK,protein_coding
RGPD5,10.5937,8.28817,9.32446,OK,protein_coding
STMN4,0.0673618,0.0191411,0.125996,OK,protein_coding
NUDCD3,29.1231,27.5106,29.6442,OK,protein_coding
ISL1,0.0236757,0.0,0.0522167,OK,protein_coding
CHDH,1.33746,1.21361,1.46368,OK,protein_coding
IL20RA,16.0508,14.6019,16.5396,OK,protein_coding
CLCA4,9.2169,8.55075,9.21547,OK,protein_coding
GLT8D1,28.8813,27.9491,30.2159,OK,protein_coding
ATP2C1,27.1686,26.061,28.5609,OK,protein_coding
SRCIN1,0.41882,0.371609,0.466102,OK,protein_coding
IGF1,1.82617,1.62633,2.04285,OK,protein_coding
SLC38A5,3.86534,3.19179,3.99193,OK,protein_coding
MAGIX,1.31716,1.10583,1.53064,OK,protein_coding
