Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
TSPAN6,1.24312,0.81087,1.6759,OK,protein_coding
TNMD,0.0961454,0.0,0.480729,OK,protein_coding
DPM1,0.293114,0.0,0.671137,OK,protein_coding
SCYL3,1.27705,0.971565,1.58253,OK,protein_coding
C1orf112,0.111449,0.026514,0.370311,OK,protein_coding
FGR,4.79997,4.14603,5.46064,OK,protein_coding
CFH,0.789947,0.50202,1.08461,OK,protein_coding
FUCA2,6.50772,5.21314,7.2988,OK,protein_coding
GCLC,3.39471,2.17535,4.32747,OK,protein_coding
NFYA,2.34966,1.91556,2.78378,OK,protein_coding
C1orf201,6.82305,6.0648,7.57235,OK,protein_coding
NIPAL3,7.25675,6.44451,8.07164,OK,protein_coding
LAS1L,16.4693,14.8343,18.0767,OK,protein_coding
ENPP4,0.00789869,0.0,0.0316021,OK,protein_coding
SEMA3F,121.49,118.349,126.584,OK,protein_coding
CFTR,0.910636,0.126563,1.6904,OK,protein_coding
ANKIB1,1.26418,0.665564,1.84524,OK,protein_coding
CYP51A1,1.66686,1.33527,2.00461,OK,protein_coding
KRIT1,1.58856,1.08033,2.83453,OK,protein_coding
RAD52,7.15755,5.32667,8.9944,OK,protein_coding
MYH16,0.0162628,0.0,0.535581,OK,pseudogene
BAD,67.0313,61.945,72.3821,OK,protein_coding
LAP3,6.77946,5.17336,8.09792,OK,protein_coding
CD99,177.624,171.82,183.491,OK,protein_coding
HS3ST1,0.432731,0.112774,0.914424,OK,protein_coding
ABP1,0.135727,0.0,0.409785,OK,protein_coding
WNT16,0.18429,0.034492,0.354247,OK,protein_coding
HECW1,6.29026,4.44084,6.91512,OK,protein_coding
MAD1L1,79.7825,73.8785,85.7839,OK,protein_coding
LASP1,97.0218,94.5994,101.017,OK,protein_coding
SNX11,1.1898,0.883788,1.49601,OK,protein_coding
TMEM176A,91.0234,85.6207,96.5503,OK,protein_coding
M6PR,9.53434,7.68042,11.4227,OK,protein_coding
KLHL13,0.247519,0.0325658,0.498136,OK,protein_coding
CYP26B1,7.67479,6.28427,9.06656,OK,protein_coding
ICA1,1.86094,1.07169,2.64988,OK,protein_coding
DBNDD1,11.0991,9.98856,12.2097,OK,protein_coding
ALS2,2.16868,1.74603,2.84115,OK,protein_coding
CASP10,1.28541,0.696035,2.01331,OK,protein_coding
CFLAR,23.3636,21.2138,25.5864,OK,protein_coding
TFPI,0.130748,0.0906924,0.617464,OK,protein_coding
C2orf56,1.28593,0.864983,2.01355,OK,protein_coding
RBM5,86.8698,79.6518,94.2183,OK,protein_coding
MTMR7,0.0536991,0.0,0.484461,OK,protein_coding
SLC7A2,2.97908,2.61104,3.34712,OK,protein_coding
ARF5,137.746,100.433,112.731,OK,protein_coding
SARM1,13.1091,11.7126,14.1389,OK,protein_coding
POLDIP2,52.6195,50.1467,55.3238,OK,processed_transcript
PLXND1,139.511,119.539,134.02,OK,protein_coding
AK2,11.8063,10.3001,13.3127,OK,protein_coding
CD38,0.593237,0.0,1.30986,OK,protein_coding
FKBP4,52.282,49.5872,55.2547,OK,protein_coding
KDM1A,14.2825,12.9996,15.5747,OK,protein_coding
RBM6,47.0218,43.0319,51.043,OK,protein_coding
CAMKK1,9.04696,8.36334,9.73176,OK,protein_coding
RECQL,0.0861335,0.0096813,0.456832,OK,protein_coding
CCDC132,1.03875,0.485811,1.68888,OK,protein_coding
HSPB6,376.169,371.249,389.021,OK,protein_coding
ARHGAP33,34.6778,33.3214,36.3646,OK,protein_coding
NDUFAB1,4.74653,3.53643,5.96673,OK,protein_coding
PDK4,0.331367,0.180745,0.658918,OK,protein_coding
SLC22A16,0.143068,0.0223692,0.515365,OK,protein_coding
ZMYND10,9.35118,7.78878,10.9142,OK,protein_coding
ABCB5,0.182819,0.0585398,0.349769,OK,protein_coding
ARX,1.29941,1.01721,1.57313,OK,protein_coding
SLC25A13,1.52294,0.959764,2.0785,OK,protein_coding
ST7,2.5697,2.10489,3.82407,OK,protein_coding
CDC27,0.255937,0.0227638,0.680794,OK,protein_coding
SLC4A1,8.62678,7.8889,9.46946,OK,protein_coding
HCCS,1.65715,1.1474,2.16895,OK,protein_coding
DVL2,65.9827,60.5155,65.2095,OK,protein_coding
UPF1,77.632,73.7639,77.4687,OK,protein_coding
SKAP2,0.0861829,0.0267873,0.598544,OK,protein_coding
SLC25A5,21.7274,19.7734,23.7167,OK,protein_coding
CCDC109B,0.227591,0.044957,0.509678,OK,protein_coding
POLR2J,33.5461,30.3338,36.7528,OK,protein_coding
DHX33,1.76287,1.5283,1.99826,OK,protein_coding
MEOX1,0.101452,0.0,0.256445,OK,protein_coding
THSD7A,0.299787,0.121276,0.547778,OK,protein_coding
LIG3,8.10284,7.41133,8.79622,OK,protein_coding
RPAP3,1.26643,0.552715,1.98071,OK,protein_coding
ACSM3,0.0731443,0.0256085,0.733451,OK,protein_coding
AC004381.6.1,0.54306,0.351997,1.53768,OK,protein_coding
CIAPIN1,16.1146,13.3214,18.9205,OK,protein_coding
AC004410.1,82.7765,79.7843,86.7039,OK,protein_coding
FAM214B,11.0643,10.0497,12.0824,OK,protein_coding
COPZ2,8.31319,5.7462,8.46606,OK,protein_coding
PRKAR2B,0.170259,0.0284254,0.421606,OK,protein_coding
MSL3,1.07579,0.484917,1.78294,OK,protein_coding
CREBBP,15.4525,14.8748,16.1465,OK,protein_coding
BZRAP1,28.8134,27.797,29.9832,OK,protein_coding
MPO,3.81215,3.37258,4.25337,OK,protein_coding
PON1,0.000714734,0.0,0.266898,OK,protein_coding
GCFC2,1.34722,0.716943,1.9756,OK,protein_coding
WDR54,16.8081,14.2771,18.8592,OK,protein_coding
CROT,1.22402,0.510858,1.93998,OK,protein_coding
ABCB4,0.573446,0.314696,0.975929,OK,protein_coding
MLL5,2.3182,1.56901,3.32008,OK,protein_coding
RHBDD2,111.155,107.884,116.297,OK,protein_coding
SOX8,12.4233,11.0611,13.7873,OK,protein_coding
IBTK,0.327283,0.097389,0.557509,OK,protein_coding
ZNF195,0.417779,0.251074,1.61826,OK,protein_coding
MYCBP2,1.51428,0.996468,2.03227,OK,protein_coding
FBXL3,0.729411,0.310897,1.15202,OK,protein_coding
ITGAL,6.67858,4.80289,7.96505,OK,protein_coding
PDK2,253.507,183.055,197.652,OK,protein_coding
ITGA3,54.6175,52.4738,56.7195,OK,protein_coding
ZFX,0.274282,0.0282234,0.783981,OK,protein_coding
LAMP2,3.74549,3.14835,4.34691,OK,protein_coding
GGNBP2,2.61841,2.22419,3.01419,OK,protein_coding
ITGA2B,11.915,10.9733,12.8727,OK,protein_coding
GDE1,12.7216,11.1465,14.0966,OK,protein_coding
C19orf60,69.9584,65.5312,74.4639,OK,protein_coding
CRLF1,11.0881,9.21228,11.4398,OK,protein_coding
OSBPL7,16.2335,15.2603,17.2281,OK,protein_coding
TMEM98,58.0633,54.4288,61.7665,OK,protein_coding
YBX2,2.54876,2.04876,3.02436,OK,protein_coding
MAP3K14,13.4179,12.5864,14.2625,OK,protein_coding
ABCC8,3.38016,2.29375,4.40339,OK,protein_coding
CCL3,0.346099,0.0,0.692198,OK,protein_coding
SYNRG,5.02758,4.35023,5.70716,OK,protein_coding
CACNG3,0.305013,0.187272,0.418609,OK,protein_coding
TMEM132A,145.052,139.384,152.64,OK,protein_coding
AP2B1,11.4741,10.8121,12.1642,OK,protein_coding
TAC1,0.259423,0.0,0.652464,OK,protein_coding
ZNF263,11.3474,10.3741,12.1849,OK,protein_coding
CX3CL1,80.8063,77.4765,84.9183,OK,protein_coding
SPATA20,122.757,116.977,129.847,OK,protein_coding
CACNA1G,5.20107,4.75798,5.67828,OK,protein_coding
TNFRSF12A,1.12763,0.6966,1.57054,OK,protein_coding
DLX6,0.169522,0.0160784,0.387699,OK,protein_coding
MAP3K9,1.11742,0.84619,1.39694,OK,protein_coding
RALA,0.791536,0.356501,1.54496,OK,protein_coding
BAIAP2L1.1,4.99418,4.45338,5.53454,OK,protein_coding
JHDM1D,0.0820234,0.0169049,0.187991,OK,protein_coding
ETV1,0.205439,0.081883,0.941735,OK,protein_coding
AGK,1.5152,0.996412,2.0806,OK,protein_coding
ALDH3B1,69.3479,66.6916,72.0792,OK,processed_transcript
TTC22,4.90909,4.23261,5.5984,OK,protein_coding
PHTF2,0.200782,0.0745201,0.557894,OK,protein_coding
CCL26,1.40967,0.604147,2.2152,OK,protein_coding
FARP2,11.0089,9.08353,13.7176,OK,protein_coding
USH1C,0.563863,0.286566,1.12064,OK,protein_coding
GGCT,0.777441,0.419236,1.13563,OK,protein_coding
DBF4,0.0832748,0.0,0.422696,OK,protein_coding
TBXA2R,3.39456,2.92384,3.865,OK,protein_coding
IFRD1,1.23616,0.696697,1.77885,OK,protein_coding
COX10,2.73054,2.2934,3.17394,OK,protein_coding
GTF2IRD1,70.7867,67.485,74.4084,OK,protein_coding
PAF1,109.975,107.101,114.675,OK,protein_coding
VPS41,1.67526,1.12992,2.51686,OK,protein_coding
ARHGAP44,8.78302,8.08027,9.48102,OK,protein_coding
ELAC2,42.4833,39.8767,45.1483,OK,protein_coding
SCIN,0.0682361,0.0,0.537836,OK,protein_coding
ARSD,19.2625,17.9495,20.5741,OK,protein_coding
PNPLA4,3.0802,2.11861,4.04612,OK,protein_coding
MYH13,0.011116,0.0,0.0502046,OK,protein_coding
ADIPOR2,3.46821,2.89851,4.03802,OK,protein_coding
CDKL3,0.733252,0.167749,1.67234,OK,protein_coding
UPP2,0.083506,0.0,0.309006,OK,protein_coding
MARK4,58.7944,56.3421,61.2012,OK,protein_coding
PROM1,0.420226,0.205643,1.2402,OK,protein_coding
CCDC124,84.8379,66.1374,74.659,OK,protein_coding
CEACAM21,1.10983,0.49149,1.7278,OK,protein_coding
PAFAH1B1,10.8539,9.90525,11.804,OK,protein_coding
NOS2,0.739525,0.57459,0.906968,OK,protein_coding
DNAH9,0.160283,0.0754228,0.251477,OK,protein_coding
KIAA0100,21.6784,20.9868,22.6601,OK,protein_coding
SLC13A2,0.206293,0.0576742,0.358288,OK,protein_coding
GAS7,27.3723,25.7423,29.0178,OK,protein_coding
TRAPPC6A,11.0634,7.45471,10.8822,OK,protein_coding
MATK,3.3167,2.81154,3.82291,OK,protein_coding
CD79B,2.74283,1.96407,3.52615,OK,protein_coding
SCN4A,0.285834,0.213563,0.357391,OK,protein_coding
ST7L,26.9898,23.9317,30.4816,OK,protein_coding
TKTL1,1.63723,0.942673,2.33159,OK,protein_coding
PAX6,131.122,124.154,138.528,OK,protein_coding
RPUSD1,39.7786,37.4159,42.3008,OK,protein_coding
RHBDF1,73.1962,67.8651,76.4515,OK,protein_coding
LUC7L,23.4933,18.7909,23.1184,OK,protein_coding
CACNA2D2,62.7756,61.2521,65.1604,OK,protein_coding
BAIAP3,7.95936,6.00632,9.00403,OK,protein_coding
C16orf42,57.0013,52.9487,61.0765,OK,protein_coding
PIGQ,108.054,102.146,113.886,OK,protein_coding
CRAMP1L,12.2757,10.7627,14.0251,OK,protein_coding
TEAD3,111.626,106.032,117.484,OK,protein_coding
SELE,0.0255822,0.0,0.254841,OK,protein_coding
DNAJC11,26.0717,24.3912,27.7507,OK,protein_coding
FMO3,0.858451,0.499378,1.21704,OK,protein_coding
MYLIP,3.63043,3.09008,4.17203,OK,protein_coding
E2F2,0.747167,0.441986,1.05607,OK,protein_coding
PSMB1,7.86492,6.52167,9.21673,OK,protein_coding
SYN1,2.40367,2.06171,2.74579,OK,protein_coding
JARID2,3.05155,2.47869,3.6251,OK,protein_coding
CDKL5,0.312527,0.196997,0.42689,OK,protein_coding
CAMK1G,1.63526,1.13304,2.14049,OK,protein_coding
CDK11A,76.8396,70.9336,82.9722,OK,protein_coding
NADK,53.6982,44.7785,50.4878,OK,protein_coding
TFAP2B,6.21086,5.27331,7.14963,OK,protein_coding
DLEC1,1.41884,0.852825,2.06948,OK,protein_coding
CYTH3,70.6157,63.3118,70.688,OK,protein_coding
ADAM22,0.156423,0.018992,0.509874,OK,protein_coding
SYPL1,0.453215,0.10399,0.839853,OK,protein_coding
CYB561,37.4039,35.4227,39.6651,OK,protein_coding
SPAG9,3.50815,2.29624,5.08257,OK,protein_coding
CELSR3,1.42826,0.82192,2.03904,OK,protein_coding
AASS,1.26296,0.931018,1.59975,OK,protein_coding
PLEKHG6,1.46621,0.893424,2.07277,OK,protein_coding
SS18L2,1.46607,0.849401,2.0875,OK,protein_coding
MPND,40.5302,38.0444,43.022,OK,protein_coding
MGST1,2.04742,1.17011,2.92179,OK,protein_coding
CRY1,0.116305,0.0220984,0.397555,OK,protein_coding
PGLYRP1,0.626036,0.286765,0.931986,OK,protein_coding
NFIX,133.935,131.381,138.974,OK,protein_coding
ST3GAL1,16.3171,14.3609,17.4957,OK,protein_coding
MMP25,4.45124,3.69351,5.21903,OK,protein_coding
IL32,13.4943,10.8685,16.1628,OK,protein_coding
PKD1,288.309,277.859,301.31,OK,protein_coding
MAPK8IP2,9.65323,8.84003,10.4662,OK,protein_coding
MED24,70.2992,65.6618,71.7564,OK,protein_coding
RHOBTB2,41.7913,34.2627,40.6976,OK,protein_coding
HEATR5B,1.19276,0.921276,1.46309,OK,protein_coding
SEC62,2.03765,1.37397,2.70265,OK,protein_coding
RPS20,87.789,80.7036,94.8754,OK,protein_coding
CSDE1,3.89361,3.14512,4.64303,OK,protein_coding
UBE3C,1.04406,0.831448,1.5434,OK,protein_coding
REV3L,0.478004,0.263235,1.04684,OK,protein_coding
ODZ1,0.432393,0.227907,0.79718,OK,protein_coding
PAX7,0.0127175,0.0,0.0814416,OK,protein_coding
MASP2,0.235207,0.0697365,0.469417,OK,protein_coding
IYD,0.303993,0.0980244,0.668695,OK,protein_coding
FAM76A,0.737121,0.315253,1.15901,OK,protein_coding
TRAF3IP3,0.5709,0.191985,1.14829,OK,protein_coding
POMT2,30.2049,26.8997,33.5288,OK,protein_coding
VTA1,0.0843409,0.0111396,0.334961,OK,protein_coding
MLXIPL,2.19512,1.68765,2.69903,OK,protein_coding
BAZ1B,9.66462,9.12312,10.2898,OK,protein_coding
RANBP9,1.22572,0.908881,1.54242,OK,protein_coding
ETV7,1.76254,1.33851,2.19057,OK,protein_coding
C1orf124,0.195083,0.0,0.509995,OK,protein_coding
METTL13,10.5751,8.66162,12.4781,OK,protein_coding
DYRK4,8.03423,6.05206,10.0178,OK,protein_coding
ZNF207,3.85293,3.26545,4.44078,OK,protein_coding
UQCRC1,83.0901,77.3203,88.8005,OK,protein_coding
STARD3NL,0.184008,0.00981822,0.480939,OK,protein_coding
CD9,3.94014,2.88561,5.03964,OK,protein_coding
HHATL,1.23526,0.304838,2.17246,OK,protein_coding
NCAPD2,36.4041,32.2392,37.3714,OK,protein_coding
IFFO1,65.3008,62.8023,68.441,OK,protein_coding
GIPR,0.108478,0.0,0.21398,OK,protein_coding
PHF7,1.94339,1.15066,2.69296,OK,protein_coding
SEMA3G,42.6439,39.9281,45.4,OK,protein_coding
NISCH,235.564,223.115,234.084,OK,protein_coding
STAB1,176.103,174.021,182.282,OK,protein_coding
FUZ,101.531,90.3737,102.259,OK,protein_coding
SLC6A13,18.7508,16.584,20.3237,OK,protein_coding
IDS,13.3514,11.8,14.9067,OK,protein_coding
PRSS3,0.854468,0.214473,1.76456,OK,protein_coding
ZNF200,0.182047,0.0785141,0.286071,OK,protein_coding
CD4,49.979,47.6596,52.4921,OK,protein_coding
LRRC23,7.89665,6.58274,9.22681,OK,protein_coding
BTK,0.505537,0.274308,1.22757,OK,protein_coding
HFE,4.41888,3.35572,5.48043,OK,protein_coding
SCMH1,55.8553,49.5613,57.0254,OK,protein_coding
FYN,57.444,52.3732,62.5282,OK,protein_coding
HIVEP2,2.08215,0.842186,3.62662,OK,protein_coding
FMO1,11.7863,9.74311,13.8295,OK,protein_coding
TCEB3,1.99155,1.59725,2.38465,OK,protein_coding
LYPLA2,49.3214,46.5174,52.1087,OK,protein_coding
CLCN6,11.506,10.2453,12.7695,OK,protein_coding
MRC2,133.479,132.353,137.761,OK,protein_coding
NME2,103.194,97.3156,109.311,OK,protein_coding
SLC6A7,0.0287413,0.0,0.175386,OK,protein_coding
TSPAN9,103.277,99.3868,107.815,OK,protein_coding
BTBD7,1.28206,0.929034,1.63782,OK,protein_coding
APBA3,30.6372,28.9447,32.4678,OK,protein_coding
MKS1,7.42503,6.60739,8.24301,OK,protein_coding
ABHD5,0.321905,0.07967,0.762487,OK,protein_coding
KAL1,1.07788,0.580372,1.57532,OK,protein_coding
AKAP8L,153.58,137.454,145.194,OK,protein_coding
MBTD1,0.164738,0.0420606,0.348046,OK,protein_coding
UTP18,1.93238,1.39876,2.61038,OK,protein_coding
RNF216,18.069,17.2811,18.8535,OK,protein_coding
TTC19,2.99455,2.34671,3.64195,OK,protein_coding
PTBP1,164.646,163.069,170.237,OK,protein_coding
DPF1,1.99018,1.42231,2.55842,OK,protein_coding
SYT7,20.4726,18.8772,21.8246,OK,protein_coding
LARS2,11.3666,9.92146,12.8137,OK,protein_coding
PIK3C2A,0.400512,0.190622,0.849015,OK,protein_coding
PLAUR,1.89531,1.43342,2.35634,OK,protein_coding
ANLN,0.467023,0.0598023,1.09432,OK,protein_coding
WIZ,63.0317,61.6976,65.5939,OK,protein_coding
RABGAP1,5.25362,4.48298,6.09004,OK,protein_coding
DCN,37.5939,31.5807,36.9336,OK,protein_coding
QPCTL,17.1895,16.0043,18.3974,OK,protein_coding
PPP5C,55.3239,52.7877,57.8533,OK,protein_coding
CEP68,14.5084,12.6472,15.1405,OK,protein_coding
MAP4K3,1.15864,0.193816,2.21967,OK,protein_coding
ZBTB32,0.176172,0.0220216,0.339611,OK,protein_coding
TYROBP,15.1301,12.7781,17.5068,OK,protein_coding
TMEM159,4.62163,3.91328,5.33058,OK,protein_coding
GABRA3,0.205146,0.0868844,0.595245,OK,protein_coding
BRCA1,1.34712,0.689339,2.23485,OK,protein_coding
ERCC1,43.1455,40.4768,45.9252,OK,protein_coding
CD22,10.6659,9.86745,11.4724,OK,protein_coding
SEMA3B,313.83,300.093,312.988,OK,polymorphic_pseudogene
MBTPS2,0.0675419,0.00763237,0.13015,OK,protein_coding
PRICKLE3,9.28587,8.00938,10.5639,OK,protein_coding
LTF,1.52543,0.823252,2.27945,OK,protein_coding
EXTL3,49.2884,46.7841,51.8571,OK,protein_coding
NR1H4,0.012619,0.0,0.441587,OK,protein_coding
ELOVL5,0.869923,0.363784,1.37809,OK,protein_coding
ALOX5,16.32,13.5625,18.4563,OK,protein_coding
KDM5D,12.6459,11.0948,13.7223,OK,protein_coding
CALCOCO1,226.292,221.731,235.176,OK,protein_coding
UBR7,0.687383,0.426949,1.13539,OK,protein_coding
MAP4K5,0.345217,0.0931391,1.08972,OK,protein_coding
EHD3,15.8719,14.9349,16.8303,OK,protein_coding
PSMC4,42.3298,39.8012,44.9492,OK,protein_coding
MAN2B2,49.1827,45.853,52.9845,OK,protein_coding
SLC7A14,0.19397,0.0,0.51189,OK,protein_coding
CLDN11,6.89835,5.08029,7.65392,OK,protein_coding
SLC25A39,140.941,136.459,147.245,OK,protein_coding
MVP,81.8013,75.81,88.0253,OK,protein_coding
NUB1,20.2297,18.1058,22.3676,OK,protein_coding
PGM3,0.786236,0.222014,1.45149,OK,protein_coding
RWDD2A,1.10428,0.757522,1.45017,OK,protein_coding
CLK1,3.27271,2.51095,4.04509,OK,protein_coding
POLR3B,0.249839,0.103493,0.468481,OK,protein_coding
ANGEL1,17.238,15.6017,18.7905,OK,protein_coding
RNF14,2.56131,1.83669,3.28715,OK,protein_coding
DNASE1L1,38.5296,35.3434,41.8308,OK,protein_coding
DDX11,54.3924,49.8162,58.9696,OK,protein_coding
HEBP1,15.8814,12.5884,16.1265,OK,protein_coding
GPRC5A,3.11631,2.32581,3.88797,OK,protein_coding
MAMLD1,2.81359,2.39246,3.2351,OK,protein_coding
CD6,0.786149,0.356477,1.24653,OK,protein_coding
TACC3,22.9389,20.5493,24.9436,OK,protein_coding
UFL1,0.0337163,0.0,0.207551,OK,protein_coding
POLA2,6.60666,5.55249,7.66004,OK,protein_coding
ZC3H3,32.0988,24.5989,28.8977,OK,protein_coding
CAPN1,178.418,172.184,186.693,OK,protein_coding
ACPP,1.37149,0.73946,2.00818,OK,protein_coding
MDH1,5.73722,4.5272,7.01592,OK,protein_coding
SLC30A9,0.596068,0.256056,0.937372,OK,protein_coding
MTMR11,9.72595,8.68168,10.7692,OK,protein_coding
COX15,3.87078,2.82295,4.70778,OK,protein_coding
CCDC88C,33.6278,32.0087,35.2446,OK,protein_coding
YAF2,1.76043,0.52634,3.23585,OK,protein_coding
ZMYND11,1.81697,1.17921,2.47955,OK,protein_coding
WAS,8.45996,7.39303,9.52091,OK,protein_coding
DPEP1,0.690102,0.36683,1.28791,OK,protein_coding
BID,5.61572,4.19605,7.06535,OK,protein_coding
MATR3,3.97442,2.79503,6.63704,OK,protein_coding
NPC1L1,0.158474,0.0726099,0.2444,OK,protein_coding
XYLT2,37.4204,35.3881,39.5454,OK,protein_coding
RGPD5,1.28406,0.761599,1.80685,OK,protein_coding
STMN4,2.74199,2.08781,3.40501,OK,protein_coding
NUDCD3,73.8406,62.0674,70.3166,OK,protein_coding
ISL1,0.0397597,0.0,0.178465,OK,protein_coding
CHDH,10.4726,9.09579,11.8632,OK,protein_coding
IL20RA,1.79048,1.33978,2.24111,OK,protein_coding
GLT8D1,12.0115,10.2744,13.7885,OK,protein_coding
ATP2C1,1.20578,0.74987,2.10804,OK,protein_coding
SRCIN1,7.11091,6.568,7.65944,OK,protein_coding
IGF1,1.38573,0.640814,2.14794,OK,protein_coding
SLC38A5,3.46084,2.48933,4.43086,OK,protein_coding
MAGIX,7.8114,6.35959,9.26465,OK,protein_coding
