Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
TSPAN6,96.4673,94.9429,99.9115,OK,protein_coding
TNMD,0.528914,0.36755,0.690277,OK,protein_coding
DPM1,24.8115,23.4444,26.2119,OK,protein_coding
SCYL3,6.7517,6.34391,7.1718,OK,protein_coding
C1orf112,3.06351,2.35633,3.22258,OK,protein_coding
FGR,0.388815,0.253227,0.524554,OK,protein_coding
CFH,64.0685,62.8854,65.2405,OK,protein_coding
FUCA2,13.0287,12.3828,13.6763,OK,protein_coding
GCLC,6.60944,5.31485,6.56085,OK,protein_coding
NFYA,11.0943,10.607,11.6839,OK,protein_coding
C1orf201,2.18399,1.76999,2.45959,OK,protein_coding
NIPAL3,4.53052,4.24922,4.81243,OK,protein_coding
LAS1L,13.0308,11.8626,13.8448,OK,protein_coding
ENPP4,0.542574,0.468977,0.616777,OK,protein_coding
SEMA3F,36.8743,35.8696,38.4989,OK,protein_coding
CFTR,0.189451,0.105712,0.402205,OK,protein_coding
ANKIB1,10.8592,10.4344,11.2852,OK,protein_coding
CYP51A1,11.5033,10.3585,11.6037,OK,protein_coding
KRIT1,20.6259,19.3179,21.9417,OK,protein_coding
RAD52,7.28081,6.37976,8.22229,OK,protein_coding
MYH16,0.00976778,0.0,0.164544,OK,pseudogene
BAD,35.5797,33.3042,37.8952,OK,protein_coding
LAP3,24.646,23.6548,25.6212,OK,protein_coding
CD99,203.751,200.475,207.04,OK,protein_coding
HS3ST1,0.440955,0.303466,0.623217,OK,protein_coding
ABP1,0.134658,0.051884,0.217459,OK,protein_coding
WNT16,0.708192,0.587582,0.830554,OK,protein_coding
HECW1,0.588829,0.386562,0.783719,OK,protein_coding
MAD1L1,13.4857,12.4289,14.5901,OK,protein_coding
LASP1,21.2314,20.7016,22.1131,OK,protein_coding
SNX11,6.96688,6.54082,7.42326,OK,protein_coding
TMEM176A,1.83878,1.48804,2.19001,OK,protein_coding
M6PR,42.9199,40.7606,45.256,OK,protein_coding
KLHL13,1.84042,1.66861,2.01363,OK,protein_coding
CYP26B1,1.99497,1.69069,2.29885,OK,protein_coding
ICA1,1.67538,1.31756,1.91117,OK,protein_coding
DBNDD1,2.11726,1.86788,2.36995,OK,protein_coding
ALS2,6.2759,5.91582,6.63564,OK,protein_coding
CASP10,1.68405,1.39533,1.97529,OK,protein_coding
CFLAR,18.7833,17.6636,19.8983,OK,protein_coding
TFPI,6.13075,4.86531,6.08516,OK,protein_coding
C2orf56,8.67621,8.01523,9.35983,OK,protein_coding
RBM5,105.099,102.079,110.004,OK,protein_coding
MTMR7,1.3091,1.02896,1.58914,OK,protein_coding
SLC7A2,1.72454,1.5956,1.8571,OK,protein_coding
ARF5,88.0419,63.7391,68.7076,OK,protein_coding
SARM1,1.53851,1.32135,1.70246,OK,protein_coding
POLDIP2,23.5217,22.6854,24.5655,OK,processed_transcript
PLXND1,28.2703,23.2292,25.9818,OK,protein_coding
AK2,50.9237,47.0448,51.6478,OK,protein_coding
CD38,0.0397791,0.0,0.118771,OK,protein_coding
FKBP4,34.3758,33.2452,35.8868,OK,protein_coding
KDM1A,29.7442,28.5846,31.1299,OK,protein_coding
RBM6,49.8096,48.4241,52.1538,OK,protein_coding
CAMKK1,3.1386,2.91144,3.36986,OK,protein_coding
RECQL,14.0234,13.2252,14.899,OK,protein_coding
CCDC132,6.19349,5.75196,6.62551,OK,protein_coding
HSPB6,3.56224,3.19709,3.92738,OK,protein_coding
ARHGAP33,7.07334,6.75154,7.449,OK,protein_coding
NDUFAB1,40.4264,38.1415,42.7249,OK,protein_coding
PDK4,3.28378,3.03378,3.53246,OK,protein_coding
SLC22A16,0.0342211,0.00569044,0.141666,OK,protein_coding
ZMYND10,0.522353,0.335674,0.709194,OK,protein_coding
ABCB5,0.109264,0.0535719,0.182022,OK,protein_coding
ARX,0.394256,0.308918,0.477418,OK,protein_coding
SLC25A13,6.57455,5.55948,7.61079,OK,protein_coding
ST7,9.6221,8.85915,10.4335,OK,protein_coding
CDC27,11.9143,11.2489,12.5802,OK,protein_coding
SLC4A1,0.0118137,0.0,0.105512,OK,protein_coding
CALCR,0.00778002,0.0,0.0493628,OK,protein_coding
HCCS,13.2375,12.3695,14.1211,OK,protein_coding
DVL2,15.0602,13.6473,14.7832,OK,protein_coding
PRSS22,3.24141,2.51307,3.21236,OK,protein_coding
UPF1,21.1002,19.9388,20.9741,OK,protein_coding
SKAP2,0.811497,0.549884,1.15511,OK,protein_coding
SLC25A5,79.9005,78.0396,83.0365,OK,protein_coding
CCDC109B,3.14222,2.60856,3.39787,OK,protein_coding
POLR2J,41.1063,38.8768,43.4717,OK,protein_coding
DHX33,4.80848,4.56486,5.07512,OK,protein_coding
MEOX1,0.431682,0.3316,0.531892,OK,protein_coding
THSD7A,1.95845,1.84675,2.10981,OK,protein_coding
LIG3,8.11053,7.71304,8.51132,OK,protein_coding
