Gene Id,FPKM,FPKM Lower CI,FPKM Higher CI,FPKM Status,GENCODE Biotype
TSPAN6,46.8461,44.8313,49.0611,OK,protein_coding
TNMD,4.08871,3.61664,4.56973,OK,protein_coding
DPM1,22.2006,20.8183,23.6948,OK,protein_coding
SCYL3,7.13128,6.63914,7.63199,OK,protein_coding
C1orf112,2.44693,1.79356,2.73974,OK,protein_coding
FGR,0.979,0.744924,1.214,OK,protein_coding
CFH,89.2213,87.2735,91.1516,OK,protein_coding
FUCA2,11.8791,10.0332,11.6019,OK,protein_coding
GCLC,6.60104,4.785,6.40757,OK,protein_coding
NFYA,8.0559,7.58167,8.55454,OK,protein_coding
C1orf201,1.3711,1.14923,1.59422,OK,protein_coding
NIPAL3,2.09393,1.86508,2.32271,OK,protein_coding
LAS1L,13.355,12.4335,14.2801,OK,protein_coding
ENPP4,0.580612,0.491781,0.669561,OK,protein_coding
SEMA3F,21.8425,20.7258,23.067,OK,protein_coding
CFTR,0.0300104,0.0,0.320461,OK,protein_coding
ANKIB1,10.2966,9.73899,10.853,OK,protein_coding
CYP51A1,8.5204,7.29077,8.66186,OK,protein_coding
KRIT1,21.9038,20.3426,23.4924,OK,protein_coding
RAD52,9.35644,8.09088,10.6244,OK,protein_coding
MYH16,0.210601,0.0521177,0.449157,OK,pseudogene
BAD,44.5495,41.6725,47.4843,OK,protein_coding
LAP3,20.117,18.8768,21.3399,OK,protein_coding
CD99,274.255,269.348,279.62,OK,protein_coding
HS3ST1,0.772706,0.444626,1.10304,OK,protein_coding
ABP1,0.0502265,0.00476715,0.145701,OK,protein_coding
WNT16,0.764524,0.581485,0.947381,OK,protein_coding
HECW1,0.351853,0.177804,0.525957,OK,protein_coding
MAD1L1,14.0597,12.8188,15.5227,OK,protein_coding
LASP1,31.6796,30.9971,32.9667,OK,protein_coding
SNX11,5.40361,4.98644,5.83608,OK,protein_coding
TMEM176A,4.34521,3.67276,5.0157,OK,protein_coding
M6PR,37.3058,35.1014,39.5659,OK,protein_coding
KLHL13,4.39346,4.09638,4.69093,OK,protein_coding
CYP26B1,10.2181,9.35541,11.0854,OK,protein_coding
ICA1,4.96219,3.64887,5.38416,OK,protein_coding
DBNDD1,0.679008,0.47482,0.884891,OK,protein_coding
ALS2,5.3827,5.00738,5.75743,OK,protein_coding
CASP10,1.93843,1.6147,2.26086,OK,protein_coding
CFLAR,22.8473,21.5136,24.2303,OK,protein_coding
TFPI,17.2798,13.9321,16.135,OK,protein_coding
C2orf56,10.9934,10.1002,11.8867,OK,protein_coding
RBM5,128.807,126.254,134.686,OK,protein_coding
MTMR7,0.385239,0.270888,0.600559,OK,protein_coding
SLC7A2,5.20379,4.91024,5.51528,OK,protein_coding
ARF5,80.7394,59.0242,65.0733,OK,protein_coding
SARM1,1.86768,1.57717,2.13513,OK,protein_coding
POLDIP2,21.2771,20.3107,22.3481,OK,processed_transcript
PLXND1,72.5032,57.8997,63.4139,OK,protein_coding
AK2,38.5994,35.0547,39.2532,OK,protein_coding
CD38,0.306449,0.157642,0.486268,OK,protein_coding
FKBP4,22.2201,20.9918,23.5047,OK,protein_coding
